Name,HP,SP,DEF,RES,SPD,EVA,Stat Total,Link,URL,Image,Full Name,Passive 1,Passive 2,Passive 3,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Passives,Skills,ID,Date
Dio,13,9,0,0,8,3,33,🔗,https://tbs-crossover-arena.fandom.com/wiki/Dio,,Dio,"Vampiric Body
At the end of Dio's turn,
recover 2 HP and SP.
Light Skills deal +2 damage against Dio. ","Stand -THE WORLD-
Dio has Pursuit 2.",,"MUDA MUDA MUDA MUDA!!!
[ATK] Cost 4 SP
One Enemy : [Impact 8]
This Skill has Direct and +1 ACC. ","Throwing Knives
[ATK] Cost 2 SP
One Enemy : [Blade 4] ","Blood Sucking
[ATK] Cost 2 SP
One Enemy : [Pierce 1] [Bleed 1]
On hit, recover 4 HP. ","ROAD ROLLER DA!!!
[ATK] Cost 9 SP
One Enemy : [Impact 7] [Trap 6, Stuck 2]
This Skill has Direct.",,2,4,048,5/21/2021
Andy,5,8,2,1,5,2,23,🔗,https://tbs-crossover-arena.fandom.com/wiki/Andy,,Andy,"Commanding Officer
At the start of this unit's turn you may
swap with an ally in Back then use a Skill.","Day-to-Day Effect
None.  ",,"Hyper Repair
[SUP] Cost 4 SP
All Allies : [+1 DEF] Recover 4 HP.","Hyper Upgrade   
[SUP] Cost 8 SP
All Allies : [+1 ATK,DEF] Recover 10 HP. ",,,,2,2,049,5/25/2021
Henry Stickmin,6,18,0,0,6,3,33,🔗,https://tbs-crossover-arena.fandom.com/wiki/Henry_Stickmin,,Henry Stickmin,"Choose One
You may use the Support Skills of any character
in the Front like they're your own.",,,"Distraction Dance
[SUP] Cost 3 SP
All Enemies : [Disable 1]",,,,,1,1,050,5/25/2021
Miko,7,16,1,1,4,0,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Miko,,Toyosatomimi no Miko,"True Administrator 
At the start of Miko's turn,
If at least three allies in front are uninjured,
Miko gains [+2 MAG];
If all allies in front are injured,
Miko gains [+2 DEF,RES,SPD]. ",,,"Tradition of Just Rewards
[MAG] Cost 5 SP
One Enemy : [Mystic 1] [-2 ATK,MAG,DEF,RES]
This Skill has Precision.","Halo of the Guse Kannon
[MAG] Cost 9 SP
All Enemies : [Spirit 5]
This Skill has +3 ACC. ","Wishful Soul of Desire  
[SUP] Cost 5 SP
One Ally : Recover 5 HP and 5 SP.",,,1,3,051,5/25/2021
Satori,8,15,0,1,4,1,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Satori,,Satori,"Spell Card Recollection
You may use the Magic Skills of any character
in the Front like they're your own. ",,,"Brain Fingerprint
[MAG] Cost 4 SP
All Enemies : [Mystic 2] [Silence 1]
This Skill has -1 ACC.",,,,,1,1,052,5/25/2021
Shou,12,7,3,2,6,0,30,🔗,https://tbs-crossover-arena.fandom.com/wiki/Shou,,Shou Toramaru,"Pagoda's Light of Dharma
When Shou KOs a target,
All Allies recover 3 SP.  ","Ability to Gather Treasures
When Shou rallies,
recover 3 HP and SP.  ",,"Hungry Tiger
[ATK] Cost 3 SP
One Enemy : [Pierce 1]
Self : Recover 2 HP. 
This Skill has Precision.  ","Radiant Treasure Gun
[ATK] Cost 5 SP
All Enemies : [Spirit 2]
All Allies : Recover 2 SP.
This Skill has +1 ACC.  ","Dazzling Gold
[MAG] Cost 7 SP
All Enemies : [Spirit 5] [Heavy 2]
This Skill has -1 ACC. ","Aura of Justice
[SUP] Cost 7 SP
All Allies : [+3 DEF,ACC]",,2,4,053,5/25/2021
Taskmaster,10,12,2,0,5,2,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Taskmaster,,Taskmaster,"Photographic Reflexes
You may use the Attack Skills of any character
in the Front like they're your own.",,,"Masterclass Merc
[ATK] Cost 5 SP
All Enemies : [Impact 3] [Weaken 1] 
This Skill has -1 ACC.",,,,,1,1,054,5/25/2021
Kyubi no Kitsune,10,30,2,2,5,3,52,🔗,https://tbs-crossover-arena.fandom.com/wiki/Seijun,,Kyubi no Kitsune,"Ancient Ambition
Kyubi no Kitsune's SP may go above her MAX SP.","Heart of the Mountain
When Kyubi no Kitsune rallies,
recover 6 SP and gain [Shield 2, Taunt 2].",,"Tale of Nine Sorrows
[MAG] Cost 7 SP
Two Enemies : [Mystic 9]","Tale of Seven Trials
[MAG] Cost 13 SP
One Enemy : [Mystic 15]
This Skill has Scope.",,,,2,2,055,5/26/2021
Seijun,10,17,2,2,3,1,35,🔗,https://tbs-crossover-arena.fandom.com/wiki/Seijun,,Seijun,"Watchful Guardian
After Seijun's action she gains [1 Transform] and recovers X SP.
X = # of Transforms.
Seijun cannnot have more than 5 Transforms. ","Kitsune's Wrath
If Seijun has 5 Transforms at the start of her
turn she becomes Kyubi no Kitsune and recovers 10 SP.",,"Ink Spike
[MAG] Cost 5 SP
One Enemy : [Impact 7] ","Fox Fire
[MAG] Cost 4 SP
One Enemy : [Fire 4]
If this skill hits, you may swap
the target enemy with an enemy in Front.","Ink Splash
[MAG] Cost 5 SP 
Two Enemies : [Mystic 3]
Self : [Haste 2]",,,2,3,056,5/26/2021
Henry,8,12,3,1,2,0,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Henry,,Henry,"""Yeah, blood!""
If target is injured, deal +3 damage.",,,"Flux
[MAG] Cost 3 SP
One Enemy : [Dark 4]","Mire
[MAG] Cost 5 SP
Any Enemy : [Dark 1] ","""Hahahahaha!""
[MAG] Cost 6 SP
All Enemies : [Dark 5] 
This Skill has -1 ACC.",,,1,3,057,5/27/2021
Sekibanki,6,9,2,1,4,2,24,🔗,https://tbs-crossover-arena.fandom.com/wiki/Sekibanki,,Sekibanki,"Flight Sign ""Flying Head""
At the end of Sekibanki's turn, gain [2 Heads];
Then arrange Heads in the Front as you wish. ",,,"Flying Head ""Multiplicative Head""
[SUP] Cost 2 SP
Self : [5 Heads] ","Glinting Eyes ""Hell's Ray""
[MAG] Cost 4 SP
All Enemies : [Dark X]
This Skill only hits targets with Heads.
This Skill has +1 ACC and Break. 
X = Number of target's heads.","Flying Head ""Dullahan Night""
[ATK] Cost 5 SP
All Enemies : [Impact 3] [2 Heads]
This Skill has -1 ACC. ","Flying Head ""Seventh Head""
[SUP] Cost 3 SP
One Enemy : [Death 0]
This skill only works if the target has 7 Heads.",,1,4,058,5/27/2021
Tidus,8,12,1,1,6,4,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Tidus,,Tidus,"""I've been saving this one for you!""
Tidus' skills deal +2 damage while he's at 4 HP or lower.",,,"Brotherhood
[ATK] Cost 3 SP
One Enemy : [Water 4]
Self : Gain [1 Limit].","Curaga
[SUP] Cost 5 SP
One Ally : Recover 10 HP.","Blitz Ace
[ATK] Cost 2 Limit
One Enemy : [Water 10] ",,,1,3,059,5/27/2021
Tug,13,0,1,0,0,1,15,🔗,https://tbs-crossover-arena.fandom.com/wiki/Tug,,Tug,"Reliable Mount
When Tug is swapped in from the back,
you may swap an ally from the back
with an ally in the front.","Deep Bond
When Tug is swapped out,
you may swap an ally Will Treaty
from the front to the back.",,"Worry Wort
[SUP] Cost 0 SP
One Ally : [Cure 0]  ","Crucial Sprint
[SUP] Cost 0 SP
Self : [Haste 1]
Tug may use Swap after this skill.",,,,2,2,060,5/27/2021
Vella,7,11,0,0,6,3,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Vella,,Vella Moisia,"Semblance: Binding Glyphs
At the start of Vella's turn,
you may pay 2 SP 
to swap a Marked enemy with an enemy in the Front.",,,"Chatareus: Rapid-fire
[ATK] Cost 5 SP
All Enemies : [Pierce 1] [Mark 3]
This skill has +3 ACC.","Chatareus: Razor-Edged
[ATK] Cost 4 SP
One Enemy : [Blade 4]
This skill deals +6 damage to Marked targets. ","Chatareus: Distant Shot
[SUP] Cost 3 SP
Any Enemy : [Mark 3]",,,1,3,061,5/27/2021
Boneclang,6,2,3,0,4,1,16,🔗,https://tbs-crossover-arena.fandom.com/wiki/Boneclang,,Boneclang,,,,"Slice
[ATK] Cost 0 SP
One Enemy : [Blade 1]","Walk Backwards
[SUP] Cost 0 SP
Self : [+2 EVA]
Swap with an ally in front.","Skeletal Sentry
[MAG] Cost 2 SP
One Enemy : [Dark 3]","Will Skull
[SUP] Cost 3 HP
One Ally : Recover 9 SP.",,0,4,062,5/28/2021
Demoknight,10,8,2,1,5,1,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Demoknight,,Tavish Finnegan DeGroot,"The Headtaker
At the end of Demoknight's turn,
gain [+X HP,SPD,EVA,ACC]
X = 2 * Demoknight's Heads
Demoknight can have a max of 2 Heads.
Sekibanki cannot add or remove Demoknight's Heads.","Ali Baba's Wee Booties
If Demoknight KO's a target,
Recover 6 SP and 2 HP at the end of his turn.",,"The Eyelander
[ATK] Cost 2 SP
One Enemy : [Blade 3]
If this Skill KO's, gain [+1 Heads] and
all the Heads the target had.","The Splendid Screen
[ATK] Cost 4 SP
One Enemy : [Impact 0 + X]
Self : [Cure 0]
On hit, gain [Crit 6] and this Skill has Combo.",,,,2,2,063,5/28/2021
Grit,7,8,1,0,4,3,23,🔗,https://tbs-crossover-arena.fandom.com/wiki/Grit,,Grit,"Commanding Officer
At the start of this unit's turn you may
swap with an ally in Back then use a Skill.","Day-to-Day Effect
While Grit is in front, 
Allied Scoped Skills deal +1 damage.
Allied Direct Skills deal -3 damage. ",,"Snipe Attack
[SUP] Cost 4 SP
All Allies : [+2 ACC] [Scope 2] [Distance 1]","Super Snipe
[SUP] Cost 8 SP
All Allies : [+5 ACC] [Scope 4] [Distance 2]",,,,2,2,064,5/28/2021
Lon'qu,7,8,1,0,7,4,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Lon'qu,,Lon'qu,"Swordfaire
Lon'qu deals +1 damage for every other ally
in front with a Blade damage type.",,,"Killing Edge
[ATK] Cost 3 SP
One Enemy : [Blade 3] {30% 3*damage}  ","Double-edged Fury
[ATK] Cost 5 SP
Two Enemies : [Blade 2]
This Skill has Tempo. ",,,,1,2,065,5/28/2021
Murasa,5,8,3,1,5,3,25,🔗,https://tbs-crossover-arena.fandom.com/wiki/Murasa,,Minamitsu Murasa,"Already Capsizing
While this unit is in front,
all Water damage is increased by 1.",,,"Capsize ""Sinking Anchor""
[ATK] Cost 4 SP
One Enemy : [Impact 4] [Heavy 2] ","Drowning Sign ""Sinkable Vortex""
[ATK] Cost 3 SP
All Enemies : [Water 2] {60% Heavy 2} ","Harbor Sign ""Phantom Ship's Eternal Anchorage""
[SUP] Cost 2 SP
Two Enemies : [Heavy 2] ","Ghost ""Dipper Creeping Close""
[ATK] Cost 5 SP
Two Enemies : [Water 3]
Self : [+3 EVA]",,1,4,066,5/28/2021
Specter Knight,20,X,2,1,3,2,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Specter_Knight,,Specter Knight,"The Will to Exist
Specter Knight's HP and SP are the same stat.",,,"Dash Slash
[ATK] Cost 2 HP
One Enemy : [Blade 4]
Self : [+2 SPD] ","Hover Plume
[SUP] Cost 1 HP
Self : [+3 EVA]","Judgement Rush
[ATK] Cost 5 HP
Two Enemies : [Blade 5]
This skill has +2 ACC. ","Raise Dead
[SUP] Cost 4 HP
Revive a KO'ed ally as a Boneclang with max HP and SP.",,1,4,067,5/28/2021
Abelard,13,2,1,0,5,1,22,🔗,https://tbs-crossover-arena.fandom.com/wiki/Abelard,,"Abelard","Reliable Mount
When Abelard is swapped in from the back,
you may swap an ally from the back
with an ally in the front.","Deep Bond
When Abelard is swapped out,
you may swap an ally Halt
from the front to the back.",,"Encourage
[SUP] Cost 2 SP
One Ally : Recover 4 SP. ","Kick
[ATK] Cost 2 SP
One Enemy : [Impact 3]",,,,2,2,068,5/29/2021
Halt,8,9,1,0,6,2,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Halt,,Halt O'Carrick,"Aura of Legend
When Halt is swapped in Front from the Back,
all enemies gain [Terror 2].",,,"Armor Piercing Arrow
[ATK] Cost 3 SP
One Enemy : [Pierce 3]
This skill has Break.","Bold Strategy
[SUP] Cost 5 SP
All Allies : [Crit 2]
All Enemies : [-2 EVA]  ","Clever Strategy
[SUP] Cost 5 SP 
All Allies : [+1 DEF,EVA] 
All Enemies : [-2 ATK]","Planned Distraction
[SUP] Cost 2 SP
One Enemy : [Weaken 1]
Swap an ally Abelard.  ",,1,4,069,5/29/2021
Captain America,12,8,3,1,6,2,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Captain_America,,Captain America,"Last Stand
Captain America takes -2 damage from skills at 4 or lower health. ",,,"Shield Bash
[ATK] Cost 2 SP
One Enemy : [Impact 2] [Disable 2]   ","Ricochet Throw
[ATK] Cost 4 SP
Two Enemies : [Impact 4]","Patriot's Shield
[SUP] Cost 4 SP
Self : [+3 DEF] [Taunt 3]","Rallying Speech
[SUP] Cost 2 SP
Two Allies : Recover 3 SP.  ",,1,4,070,5/31/2021
Hulk,20,20,0,0,5,0,45,🔗,https://tbs-crossover-arena.fandom.com/wiki/Hulk,,Robert Bruce Banner,"Rage
Hulk deals more damage the less HP he has.
20 HP = +0 damage
19-15 HP = +1 damage 
14-10 HP = +2 damage 
9-5 HP = +3 damage
4-1 HP = +4 damage   ",,,"Hulk Smash!
[ATK] Cost 5 SP
One Enemy : [Impact 5] ","Hulk Smash!
[ATK] Cost 5 SP
Two Enemies : [Impact 3] ","Hulk Smash!
[ATK] Cost 5 SP
All Enemies : [Impact 2] 
This Skill has -1 ACC.",,,1,3,071,5/31/2021
Iron Man,6,20,1,0,5,1,33,🔗,https://tbs-crossover-arena.fandom.com/wiki/Iron_Man,,Iron Man,"Suit
When Iron Man takes damage,
He loses SP instead of HP until his SP reaches 0.
Deal the remainder of the damage that brought him to 0 SP to his HP.",,,"Repulsors
[ATK] Cost 5 SP
One Enemy : [Impact 6]","Pulse Bolt
[ATK] Cost 3 SP
One Enemy : [Impact 2 + X]
X = Target's Slot number  ","Smart Missiles
[ATK] Cost 4 SP
One Enemy : [Impact 3]
This Skill has Break and Scope. ","Unibeam 
[ATK] Cost X SP
One Enemy : [Impact X]
X = Iron Man's Current SP.",,1,4,072,5/31/2021
Lyn,4,11,1,3,8,5,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Lyn,,Lyndis,"Memories of the Earth
Lyn deals +1 damage if at least 1 ally is KO'ed. ",,,"Staunchflash Sol Katti
[ATK] Cost 5 SP
One Enemy : [Blade 4]
This skill has Precision.","Afterimage Sword Strike
[ATK] Cost 3 SP
Two Enemies : [Blade 1]
This skill has Adept 1.","Mulagir
[ATK] Cost 5 SP
One Enemy : [Pierce 3]
Self : [+1 SPD,EVA]
This skill has Scope.","""Lend me your strength!""
[SUP] Cost 7 SP
Swap an ally from the Back to the Front.
This ally gains [Shield 3] and [Bold 3].",,1,4,073,6/1/2021
Megumu,8,13,1,2,6,2,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Megumu_Iizunamaru,,Megumu Iizunamaru,"Lost in the Stars
While Megumu is in front,
Marked enemies deal -1 damage. ",,,"Calamitous Star
[MAG] Cost 4 SP
One Enemy : [Astral 3] [-4 ATK,MAG]
If target is not Marked, this Skill has no effect.","Stellar Wind
[MAG] Cost 6 SP
Two Enemies : [Mystic 4] [Mark 5]","Luminous Horse
[MAG] Cost 3 SP
All Enemies : [Astral 5] [Mark 2] [+3 SPD]
This Skill has -1 ACC. ","Rainbow Illumination
[SUP] Cost 4 SP
All Allies : [+2 EVA,DEF,RES] [-3 ATK]",,1,4,074,6/2/2021
Joshua,8,12,1,3,7,3,34,🔗,https://tbs-crossover-arena.fandom.com/wiki/Joshua,,Joshua,"""Let's have us a little wager.""
At the start of Joshua's turn spend 1 SP to flip a coin.
Heads : Joshua deals +3 damage this turn.
Tails : Joshua deals -1 damage this turn.","Tempest King
Joshua has Windsweep.",,"Audhulma
[ATK] Cost 4 SP
One Enemy : [Blade 6]","Killing Edge
[ATK] Cost 3 SP
One Enemy : [Blade 3] {30% 3*damage} ",,,,2,2,075,6/4/2021
Saitama,99,99,30,30,20,20,298,🔗,https://tbs-crossover-arena.fandom.com/wiki/Saitama,,Saitama,"I got lost.
Saitama cannot start in slots 1-4 
Saitama cannot be swapped until round 6,
unless he is the only character left.","He left?
If Every Other Ally has 0 HP after Saitama's turn,
the opponent wins.",,"Normal Punch
[ATK] Cost 50 SP
One Enemy : [Impact 50] 
Self : Recover 50 SP. 
This skill has Precision and Scope. ",,,,,2,1,076,6/5/2021
Cherche,12,8,4,0,3,0,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Cherche,,Cherche,"Renewal
At the start of Cherche's turn, recover 2 HP.",,,"Winged Deliverer
[SUP] Cost 2 SP
Swap two Other Allies.
You may use another skill as part of your action.","Wyvern's Screech
[SUP] Cost 4 SP
All Enemies : [Terror 2]","Hammer
[ATK] Cost 4 SP
One Enemy: [Impact 4+X]
X = Target's DEF
This Skill has Break.",,,1,3,077,10/11/2021
Alfyn,12,11,1,1,3,1,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Alfyn,,Alfyn Greengrass,"Concoct
When using a Support Skill,
Alfyn may pay double the SP Cost
to double the skill's effect. ",,,"Inspiriting Mist
[SUP] Cost 2 SP
All Other Allies : Recover 3 SP.","Amputation
[ATK] Cost 4 SP
One Enemy : [Blade 5]","First Aid
[SUP] Cost 2 SP
One Ally : Recover 4 HP.   ","Pomegranate Panacea
[SUP] Cost 5 SP
All Allies : [Crit 3]",,1,4,078,10/15/2021
Serra,4,21,0,2,8,3,38,🔗,https://tbs-crossover-arena.fandom.com/wiki/Serra,,Serra,,,,"Physic
[SUP] Cost 8 SP
Any Ally: Recover 12 HP.","Restore
[SUP] Cost 4 SP
One Ally : [Cure 2]","Lightning
[MAG] Cost 3 SP
One Enemy : [Light 5]","""Hey, come help me?""
[SUP] Cost 4 SP
Swap an ally from the Back to the Front.
This ally gains [Crit 3].","""You will protect little old me, won't you?""
[SUP] Cost 4 SP
One Ally : [Stubborn 1] Recover 10 SP.",0,5,079,10/15/2021
Blake,8,12,1,0,6,4,31,🔗,https://tbs-crossover-arena.fandom.com/wiki/Blake,,Blake Belladonna,"Semblance: Shadow
When hit by a skill, Blake may pay 6 SP to have it miss instead.",,,"Gambol Shroud: Slash
[ATK] Cost 3 SP
One Enemy : [Blade 4]","Gambol Shroud: Duel Wield
[ATK] Cost 4 SP
One Enemy : [Blade 7]
Self : [-1 EVA]","Gambol Shroud: Kusarigama
[ATK] Cost 5 SP
Two Enemies : [Blade 6]
Self : [-2 EVA]","Gambol Shroud: Slingshot
[SUP] Cost 3 SP
One Ally: [Haste 1] [Crit 2]",,1,4,080,10/16/2021
Hibaru,9,16,0,1,6,3,35,🔗,https://tbs-crossover-arena.fandom.com/wiki/Hibaru,,Hibaru Kokutenshi,"Life or Death Repayment
When Hibru is in front and
enemies have no SP left,
Terror removes HP instead.","Money Laundering
While an enemy has Terror,
Hibaru recovers 2 SP
at the end of their turn.",,"Welfare Chain Organization
[SUP] Cost 16 SP
All Other Allies : [Terror 2] 
All Enemies : [Terror 4]","Debt Collection Eulogy
[SUP] Cost 8 SP
One Enemy : [Terror 6]  ","Building Money
[SUP] Cost 8 SP
One Ally : [Bold 6] ",,,2,3,081,10/16/2021
Weiss,7,14,0,1,5,2,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Weiss,,Weiss Schnee,"Semblance: Glyphs
While Weiss is in Front,
sustain +1 and -1 stats changes on allies.",,,"Myrtenaster: Thrust 
[ATK] Cost 3 SP
One Enemy : [Blade 3]
This Skill has +3 ACC. ","Myrtenaster: Ice Wall
[SUP] Cost 6 SP
All Allies : [+3 DEF] [+1 RES]","Glyphs: Ice Shot
[MAG] Cost 4 SP
One Enemy : [4 Cold] {80% -3 SPD}","Glyphs: Time Dilation
[SUP] Cost 6 SP
All Allies : [+2 SPD,EVA] ",,1,4,082,10/16/2021
Wriggle,9,7,2,1,4,3,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Wriggle,,Wriggle Nightbug,"Poison Specialist
Wriggle is immune to Poison.
At the end of Wriggle's turn,
reduce Poison on allies by 2.",,,"Comet on Earth
[ATK] Cost 3 SP
One Enemy : [0 Nature] [Poison 5]  ","Firefly Phenomenon
[ATK] Cost 4 SP
All Enemies : [0 Nature] [Poison 3]  
This Skill has -1 ACC. ","Nightbug Tornado
[ATK] Cost 6 SP
All Enemies : [2 Nature]
If target is Poisoned, deal +5 damage.
This Skill has -1 ACC. ","Wriggle Kick  
[ATK] Cost 5 SP
One Enemy : [3 Nature]
This skill has Scope and Precision.",,1,4,083,10/16/2021
Yang,13,10,2,1,5,3,34,🔗,https://tbs-crossover-arena.fandom.com/wiki/Yang,,Yang Xiao Long,"Semblance: Burn
When hit by a skill, gain [+1 Charge].
You may use Charges to deal +2 damage each.",,,"Ember Celica: Explosive Punch
[ATK] Cost 5 SP
One Enemy : [Impact 7]   ","Ember Celica: Defend
[SUP] Cost 2 SP
Self: [+2 DEF,RES] ","Ember Celica: Explosive Shot
[ATK] Cost 4 SP
Two Enemies : [Impact 4] ","Ember Celica: Launch
[SUP] Cost 2 SP
Self: [Crit 3]",,1,4,084,10/16/2021
Garen,12,10,2,1,5,0,30,🔗,https://tbs-crossover-arena.fandom.com/wiki/Garen,,Garen,"Perseverance
When Garen recovers HP and SP in the back, the amount is doubled.",,,"Decisive Strike
[ATK] Cost 3 SP
One Enemy : [Blade 4] [Silence 1] ","Courage  
[SUP] Cost 3 SP
Self : [+2 DEF,RES] [Cure 0]","Judgment 
[ATK] Cost 5 SP
All Enemies : [Blade 3] {30% -3 DEF}
This Skill has -1 ACC.  ","Demacian Justice 
[ATK] Cost 5 SP
One Enemy : [Blade X]
X = target's missing HP. 
This skill has Break, Scope and Precision.",,1,4,085,10/17/2021
Kellam,20,6,4,2,2,0,34,🔗,https://tbs-crossover-arena.fandom.com/wiki/Kellam,,Kellam,"""I blend into the background sometimes...""
While at least 3 other allies are not KO'ed,
Kellam is Invisible. ",,,"Rally Defense 
[SUP] Cost 4 SP
All Allies : [+2 DEF]","Steel Lance
[ATK] Cost 3 SP
One Enemy : [Pierce 4] ",,,,1,2,086,10/17/2021
Teemo,8,12,0,0,6,3,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Teemo,,Teemo,"Guerrilla Warfare
When Teemo is swapped, he gains [Invisible 1].",,,"Blinding Dart
[MAG] Cost 4 SP
One Enemy : [Pierce 4] [Weaken 2]","Move Quick
[SUP] Cost 1 SP
Self : [+2 SPD,EVA]  ","Toxic Shot
[MAG] Cost 3 SP
One Enemy : [Pierce 2] [Poison 3]","Noxious Trap 
[MAG] Cost 6 SP
One Enemy : [Impact 0] [Stuck 3] [Reveal 3] [Poison 3]",,1,4,087,10/17/2021
Kaguya,4,12,0,3,3,0,22,🔗,https://tbs-crossover-arena.fandom.com/wiki/Kaguya,,Kaguya Houraisan,"Desire to Rest
When Kaguya is swapped to the Back,
she recovers 4 HP and 8 SP.",,,"Dragon's Neck Jewel
[MAG] Cost 3 SP
All Enemies : [Mystic 3]
This Skill has -1 ACC.","Buddha's Stone Bowl  
[MAG] Cost 6 SP
All Enemies : [Spirit 3] [-2 DEF,RES]
Self : {50% +1 MAG,DEF,RES,SPD} 
This Skill has -1 ACC. ","Swallow's Cowrie Shell
[MAG] Cost 8 SP
All Enemies : [Nature 4]
All Allies : [Cure 1]
This Skill has -1 ACC. ","Bullet Branch of Hourai
[MAG] Cost 9 SP
All Enemies : [Astral 8]
This Skill has -1 ACC. ",,1,4,088,10/18/2021
Lycan,10,9,1,1,6,2,29,🔗,https://tbs-crossover-arena.fandom.com/wiki/Lycan,,Lycan Arcadia,"Semblance: Clone Sending
Lycan has Tempo.",,,"Razorbolt: Knife Throw
[ATK] Cost 2 SP
One Enemy : [Blade 1]
This Skill has +4 ACC.","Razorbolt: Fierce Slash
[ATK] Cost 4 SP
One Enemy : [Blade 4]
This Skill has +2 ACC.","Razorbolt: King of Anything
[ATK] Cost 5 SP
Self : [+2 ATK,EVA]
Two Enemies : [Blade 1] ",,,1,3,089,10/18/2021
Simin,9,15,1,1,5,1,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Simin,,Simin Megistus,,,,"Kore Kosmou: Ice Sword
[ATK] Cost 4 SP
Two Enemies : [Cold 3]
Self : [+2 SPD,EVA] ","Kore Kosmou: Ice Shield
[ATK] Cost 3 SP
One Enemy : [Cold 2]
Self : [+2 DEF,RES]  ","Kore Kosmou: Fire Greatsword
[ATK] Cost 5 SP
One Enemy : [Fire 5] {50% Burn 2}
Self : [+2 ATK,MAG]","Kore Kosmou: Wind Lance
[MAG] Cost 6 SP
All Enemies : [Wind 5] 
This Skill has -1 ACC.",,0,4,090,10/18/2021
Alfonse,8,7,2,0,7,2,26,🔗,https://tbs-crossover-arena.fandom.com/wiki/Alfonse,,Alfonse Steadsteel,"The Thermal Knight
When Alfonse is in front,
all Wind damage is increased by 1.",,,"Scorching Slash
[ATK] Cost 5 SP 
One Enemy : [Blade 4] {30% Burn 5}","Sirocco Gust
[ATK] Cost 4 SP
One Enemy : [Wind 2]  {10% Burn 3}
If hit, opponent swaps target with a character in their Back.","Blast of Speed
[SUP] Cost 2 SP
Swap with any ally.
You may use this skill after using a different skill.",,,1,3,091,10/19/2021
Mystia,6,8,1,0,6,4,25,🔗,https://tbs-crossover-arena.fandom.com/wiki/Mystia,,Mystia Lorelei,"Deaf to All but the Song
While Mystia is in front,
Silenced characters take +1 damage.",,,"Ill-Starred Dive
[ATK] Cost 2 SP
One Enemy : [Wind 2]
This skill has +4 ACC.","Poisonous Moth's Dark Dance 
[ATK] Cost 6 SP
All Enemies : [Nature 3] {80%  Poison 3, Paralysis 1}
This Skill has -1 ACC. ","Midnight Chorus Master
[ATK] Cost 5 SP
All Enemies : [Wind 2] [Silence 4]
This Skill has -1 ACC. ","Mysterious Song
[SUP] Cost 4 SP
All Allies : Remove Silence. If Silence was removed, recover max HP and [Cure 0].",,1,4,092,10/19/2021
Primrose,8,10,0,0,7,3,28,🔗,https://tbs-crossover-arena.fandom.com/wiki/Primrose,,Primrose Azelhart,"Eye for an Eye
Primrose has Thorns 3.",,,"Lions Dance
[SUP] Cost 4 SP
One Ally : [+3 ATK] ","Peacock Strut
[SUP] Cost 4 SP
One Ally : [+3 MAG]  ","Moonlight Waltz	
[MAG] Cost 3 SP
One Enemy : [Dark 4]","Encore
[SUP] Cost 8 SP
Any Ally : Revive KO'ed Ally with 1 HP and max SP.  ",,1,4,093,10/19/2021
Ragora,14,12,0,1,4,1,32,🔗,https://tbs-crossover-arena.fandom.com/wiki/Ragora,,Ragora Cinarum,"Semblance: Familiar
When using a Skill, Ragora may use
both a ""Hexentanz"" and ""Familiar"" Skill.",,,"Hexentanz: Shotgun
[ATK] Cost 3 SP
Two Enemies : [Impact 2]","Hexentanz: Glaive
[ATK] Cost 4 SP
One Enemy : [Impact 5]","Familiar: Restrain
[SUP] Cost 1 SP
One Enemy : [-2 EVA] ","Familiar: Drawing Down the Moon
[SUP] Cost 2 SP
Self : [Crit 2]  
Ragora's Skills are Reversed this turn.",,1,4,094,10/19/2021
Apollo,8,10,1,1,5,2,27,🔗,https://tbs-crossover-arena.fandom.com/wiki/Apollo,,Apollo,"Path of the Spheromancer
At the end of Apollo's turn,
gain a +2 Stat Boost in a stat of choice.",,,"Mine Valley
[SUP] Cost 6 SP
All Enemies : [Trap 4] [Burn 1]","Frozen Stance
[SUP] Cost 3 SP
Self : [Thorns 4] [Steady 2]","Song of Storms
[MAG] Cost 8 SP
One Enemy : [Electric 3]
This Skill has Adept 3.","Ki Thrust
[MAG] Cost 3 SP
One Enemy : [Wave 1] [Mark 3]
If hit, opponent swaps target with a character in their Back.",,1,4,095,10/20/2021
