Character,#,Text,Char ID,Skill ID,Name,Skill Type,Cost,Target,Damage Type,Damage,Inflict,Accuracy,Effect,Self
Atticus,2,"Druidic Bindings
[SUP] Cost 4 SP
One Ally : [+2 ACC,ATK,SPD]
If used on Atticus, you may take another action. ",042,425,"Druidic Bindings",SUP,4 SP,One Ally,,,,,,
Gengar,1,"Perish Song
[SUP] Cost 3 SP 
All Targets : [Death 3] ",043,434,"Perish Song",SUP,3 SP,All Targets,,,,,,
Gengar,2,"Hypnosis
[SUP] Cost 4 SP
One Enemy : {70% Sleep 3}  ",043,435,"Hypnosis",SUP,4 SP,One Enemy,,,,,,
Gengar,3,"Shadow Ball  
[MAG] Cost 5 SP
One Enemy : [Dark 5] {50% -2 RES}  ",043,436,"Shadow Ball  ",MAG,5 SP,One Enemy,Dark,5,,,,
Ike,1,"Legendary Ragnell 
[ATK] Cost 5 SP
One Enemy : [Blade 6]
This Skill has Scope and +2 ACC.",044,444,"Legendary Ragnell ",ATK,5 SP,One Enemy,Blade,6,,,,
Ike,2,"Hallowed Urvan 
[ATK] Cost 4 SP
Two Enemies : [Impact 4]
This Skill has +2 ACC. ",044,445,"Hallowed Urvan ",ATK,4 SP,Two Enemies,Impact,4,,,,
Ike,3,"Great Aether
[ATK] Cost 8 SP
One Enemy : [Blade 6]
Self : Recover X HP. 
This Skill has Break.
X = damage dealt to the target",044,446,"Great Aether",ATK,8 SP,One Enemy,Blade,6,,,,
Sanae,1,"Night of Bright Guest Stars
[MAG] Cost 5 SP
All Enemies : [Spirit 1]
This skill has Precision.",045,454,"Night of Bright Guest Stars",MAG,5 SP,All Enemies,Spirit,1,,,,
Sanae,2,"Moses's Miracle
[MAG] Cost 3 SP
Two Enemies : [Cold 2]
This skill has +3 ACC. ",045,455,"Moses's Miracle",MAG,3 SP,Two Enemies,Cold,2,,,,
Sanae,3,"Yasaka's Divine Wind
[SUP] Cost 4 SP
One Ally : Recover 3 HP. [Cure 1]",045,456,"Yasaka's Divine Wind",SUP,4 SP,One Ally,,,,,,
Sanae,4,"Miracle Fruit
[SUP] Cost 3 SP
One Ally : [+1 ATK,MAG,DEF,RES,SPD,EVA]",045,457,"Miracle Fruit",SUP,3 SP,One Ally,,,,,,
Mokou,1,"Fire Bird - Flying Phoenix
[ATK] Cost 2 SP
One Enemy : [Fire 3] {20% Burn 2} ",046,464,"Fire Bird - Flying Phoenix",ATK,2 SP,One Enemy,Fire,3,,,,
Mokou,2,"Tsuki no Iwaskasa's Curse
[ATK] Cost 4 SP
All Enemies : [Wind 2] [-2 ATK,MAG]
This Skill has -1 ACC. ",046,465,"Tsuki no Iwaskasa's Curse",ATK,4 SP,All Enemies,Wind,2,,,,
Mokou,3,"Fujiyama Volcano
[ATK] Cost 7 SP
All Enemies : [Fire 5]
This skill has +2 ACC.",046,466,"Fujiyama Volcano",ATK,7 SP,All Enemies,Fire,5,,,,
Dave,1,"Quivering Palm
[ATK] Cost 6 SP
One Enemy : [Impact 0] [Death 2]",047,474,"Quivering Palm",ATK,6 SP,One Enemy,Impact,0,,,,
Dave,2,"Flurry of Blows
[ATK] Cost 3 SP
One Enemy : [Impact 5] ",047,475,"Flurry of Blows",ATK,3 SP,One Enemy,Impact,5,,,,
Dave,3,"Patient Defense
[SUP] Cost 1 SP
Self : [+2 EVA] ",047,476,"Patient Defense",SUP,1 SP,Self,,,,,,
Dave,4,"Step of the Wind
[SUP] Cost 2 SP 
Swap with any ally. ",047,477,"Step of the Wind",SUP,2 SP,#N/A,,,,,,
Dio,1,"MUDA MUDA MUDA MUDA!!!
[ATK] Cost 4 SP
One Enemy : [Impact 8]
This Skill has Direct and +1 ACC. ",048,484,"MUDA MUDA MUDA MUDA!!!",ATK,4 SP,One Enemy,Impact,8,,,,
Dio,2,"Throwing Knives
[ATK] Cost 2 SP
One Enemy : [Blade 4] ",048,485,"Throwing Knives",ATK,2 SP,One Enemy,Blade,4,,,,
Dio,3,"Blood Sucking
[ATK] Cost 2 SP
One Enemy : [Pierce 1] [Bleed 1]
On hit, recover 4 HP. ",048,486,"Blood Sucking",ATK,2 SP,One Enemy,Pierce,1,,,,
Dio,4,"ROAD ROLLER DA!!!
[ATK] Cost 9 SP
One Enemy : [Impact 7] [Trap 6, Stuck 2]
This Skill has Direct.",048,487,"ROAD ROLLER DA!!!",ATK,9 SP,One Enemy,Impact,7,,,,
Andy,1,"Hyper Repair
[SUP] Cost 4 SP
All Allies : [+1 DEF] Recover 4 HP.",049,494,"Hyper Repair",SUP,4 SP,All Allies,,,,,,
Andy,2,"Hyper Upgrade   
[SUP] Cost 8 SP
All Allies : [+1 ATK,DEF] Recover 10 HP. ",049,495,"Hyper Upgrade   ",SUP,8 SP,All Allies,,,,,,
Henry Stickmin,1,"Distraction Dance
[SUP] Cost 3 SP
All Enemies : [Disable 1]",050,504,"Distraction Dance",SUP,3 SP,All Enemies,,,,,,
Miko,1,"Tradition of Just Rewards
[MAG] Cost 5 SP
One Enemy : [Mystic 1] [-2 ATK,MAG,DEF,RES]
This Skill has Precision.",051,514,"Tradition of Just Rewards",MAG,5 SP,One Enemy,Mystic,1,,,,
Miko,2,"Halo of the Guse Kannon
[MAG] Cost 9 SP
All Enemies : [Spirit 5]
This Skill has +3 ACC. ",051,515,"Halo of the Guse Kannon",MAG,9 SP,All Enemies,Spirit,5,,,,
Miko,3,"Wishful Soul of Desire  
[SUP] Cost 5 SP
One Ally : Recover 5 HP and 5 SP.",051,516,"Wishful Soul of Desire  ",SUP,5 SP,One Ally,,,,,,
Satori,1,"Brain Fingerprint
[MAG] Cost 4 SP
All Enemies : [Mystic 2] [Silence 1]
This Skill has -1 ACC.",052,524,"Brain Fingerprint",MAG,4 SP,All Enemies,Mystic,2,,,,
Shou,1,"Hungry Tiger
[ATK] Cost 3 SP
One Enemy : [Pierce 1]
Self : Recover 2 HP. 
This Skill has Precision.  ",053,534,"Hungry Tiger",ATK,3 SP,One Enemy,Pierce,1,,,,
Shou,2,"Radiant Treasure Gun
[ATK] Cost 5 SP
All Enemies : [Spirit 2]
All Allies : Recover 2 SP.
This Skill has +1 ACC.  ",053,535,"Radiant Treasure Gun",ATK,5 SP,All Enemies,Spirit,2,,,,
Shou,3,"Dazzling Gold
[MAG] Cost 7 SP
All Enemies : [Spirit 5] [Heavy 2]
This Skill has -1 ACC. ",053,536,"Dazzling Gold",MAG,7 SP,All Enemies,Spirit,5,,,,
Shou,4,"Aura of Justice
[SUP] Cost 7 SP
All Allies : [+3 DEF,ACC]",053,537,"Aura of Justice",SUP,7 SP,All Allies,,,,,,
Taskmaster,1,"Masterclass Merc
[ATK] Cost 5 SP
All Enemies : [Impact 3] [Weaken 1] 
This Skill has -1 ACC.",054,544,"Masterclass Merc",ATK,5 SP,All Enemies,Impact,3,,,,
Kyubi no Kitsune,1,"Tale of Nine Sorrows
[MAG] Cost 7 SP
Two Enemies : [Mystic 9]",055,554,Tale of Nine Sorrows,MAG,7 SP,Two Enemies,Mystic,9,,,,
Kyubi no Kitsune,2,"Tale of Seven Trials
[MAG] Cost 13 SP
One Enemy : [Mystic 15]
This Skill has Scope.",055,555,Tale of Seven Trials,MAG,13 SP,One Enemy,Mystic,15,,,,
Seijun,1,"Ink Spike
[MAG] Cost 5 SP
One Enemy : [Impact 7] ",056,564,"Ink Spike",MAG,5 SP,One Enemy,Impact,7,,,,
Seijun,2,"Fox Fire
[MAG] Cost 4 SP
One Enemy : [Fire 4]
If this skill hits, you may swap
the target enemy with an enemy in Front.",056,565,"Fox Fire",MAG,4 SP,One Enemy,Fire,4,,,,
Seijun,3,"Ink Splash
[MAG] Cost 5 SP 
Two Enemies : [Mystic 3]
Self : [Haste 2]",056,566,"Ink Splash",MAG,5 SP,Two Enemies,Mystic,3,,,,
Henry,1,"Flux
[MAG] Cost 3 SP
One Enemy : [Dark 4]",057,574,"Flux",MAG,3 SP,One Enemy,Dark,4,,,,
Henry,2,"Mire
[MAG] Cost 5 SP
Any Enemy : [Dark 1] ",057,575,"Mire",MAG,5 SP,Any Enemy,Dark,1,,,,
Henry,3,"""Hahahahaha!""
[MAG] Cost 6 SP
All Enemies : [Dark 5] 
This Skill has -1 ACC.",057,576,"""Hahahahaha!""",MAG,6 SP,All Enemies,Dark,5,,,,
Sekibanki,1,"Flying Head ""Multiplicative Head""
[SUP] Cost 2 SP
Self : [5 Heads] ",058,584,"Flying Head ""Multiplicative Head""",SUP,2 SP,Self,,,,,,
Sekibanki,2,"Glinting Eyes ""Hell's Ray""
[MAG] Cost 4 SP
All Enemies : [Dark X]
This Skill only hits targets with Heads.
This Skill has +1 ACC and Break. 
X = Number of target's heads.",058,585,"Glinting Eyes ""Hell's Ray""",MAG,4 SP,All Enemies,Dark,X,,,,
Sekibanki,3,"Flying Head ""Dullahan Night""
[ATK] Cost 5 SP
All Enemies : [Impact 3] [2 Heads]
This Skill has -1 ACC. ",058,586,"Flying Head ""Dullahan Night""",ATK,5 SP,All Enemies,Impact,3,,,,
Sekibanki,4,"Flying Head ""Seventh Head""
[SUP] Cost 3 SP
One Enemy : [Death 0]
This skill only works if the target has 7 Heads.",058,587,"Flying Head ""Seventh Head""",SUP,3 SP,One Enemy,,,,,,
Tidus,1,"Brotherhood
[ATK] Cost 3 SP
One Enemy : [Water 4]
Self : Gain [1 Limit].",059,594,"Brotherhood",ATK,3 SP,One Enemy,Water,4,,,,
Tidus,2,"Curaga
[SUP] Cost 5 SP
One Ally : Recover 10 HP.",059,595,"Curaga",SUP,5 SP,One Ally,,,,,,
Tidus,3,"Blitz Ace
[ATK] Cost 2 Limit
One Enemy : [Water 10] ",059,596,"Blitz Ace",ATK,2 Limit,One Enemy,Water,10,,,,
Tug,1,"Worry Wort
[SUP] Cost 0 SP
One Ally : [Cure 0]  ",060,604,"Worry Wort",SUP,0 SP,One Ally,,,,,,
Tug,2,"Crucial Sprint
[SUP] Cost 0 SP
Self : [Haste 1]
Tug may use Swap after this skill.",060,605,"Crucial Sprint",SUP,0 SP,Self,,,,,,
Vella,1,"Chatareus: Rapid-fire
[ATK] Cost 5 SP
All Enemies : [Pierce 1] [Mark 3]
This skill has +3 ACC.",061,614,"Chatareus: Rapid-fire",ATK,5 SP,All Enemies,Pierce,1,,,,
Vella,2,"Chatareus: Razor-Edged
[ATK] Cost 4 SP
One Enemy : [Blade 4]
This skill deals +6 damage to Marked targets. ",061,615,"Chatareus: Razor-Edged",ATK,4 SP,One Enemy,Blade,4,,,,
Vella,3,"Chatareus: Distant Shot
[SUP] Cost 3 SP
Any Enemy : [Mark 3]",061,616,"Chatareus: Distant Shot",SUP,3 SP,Any Enemy,,,,,,
Boneclang,1,"Slice
[ATK] Cost 0 SP
One Enemy : [Blade 1]",062,624,"Slice",ATK,0 SP,One Enemy,Blade,1,,,,
Boneclang,2,"Walk Backwards
[SUP] Cost 0 SP
Self : [+2 EVA]
Swap with an ally in front.",062,625,"Walk Backwards",SUP,0 SP,Self,,,,,,
Boneclang,3,"Skeletal Sentry
[MAG] Cost 2 SP
One Enemy : [Dark 3]",062,626,"Skeletal Sentry",MAG,2 SP,One Enemy,Dark,3,,,,
Boneclang,4,"Will Skull
[SUP] Cost 3 HP
One Ally : Recover 9 SP.",062,627,"Will Skull",SUP,3 HP,One Ally,,,,,,
Demoknight,1,"The Eyelander
[ATK] Cost 2 SP
One Enemy : [Blade 3]
If this Skill KO's, gain [+1 Heads] and
all the Heads the target had.",063,634,The Eyelander,ATK,2 SP,One Enemy,Blade,3,,,,
Demoknight,2,"The Splendid Screen
[ATK] Cost 4 SP
One Enemy : [Impact 0 + X]
Self : [Cure 0]
On hit, gain [Crit 6] and this Skill has Combo.",063,635,The Splendid Screen,ATK,4 SP,One Enemy,Cure,0,,,,
Grit,1,"Snipe Attack
[SUP] Cost 4 SP
All Allies : [+2 ACC] [Scope 2] [Distance 1]",064,644,"Snipe Attack",SUP,4 SP,All Allies,,,,,,
Grit,2,"Super Snipe
[SUP] Cost 8 SP
All Allies : [+5 ACC] [Scope 4] [Distance 2]",064,645,"Super Snipe",SUP,8 SP,All Allies,,,,,,
Lon'qu,1,"Killing Edge
[ATK] Cost 3 SP
One Enemy : [Blade 3] {30% 3*damage}  ",065,654,Killing Edge,ATK,3 SP,One Enemy,Blade,3,,,,
Lon'qu,2,"Double-edged Fury
[ATK] Cost 5 SP
Two Enemies : [Blade 2]
This Skill has Tempo. ",065,655,"Double-edged Fury",ATK,5 SP,Two Enemies,Blade,2,,,,
Murasa,1,"Capsize ""Sinking Anchor""
[ATK] Cost 4 SP
One Enemy : [Impact 4] [Heavy 2] ",066,664,"Capsize ""Sinking Anchor""",ATK,4 SP,One Enemy,Impact,4,,,,
Murasa,2,"Drowning Sign ""Sinkable Vortex""
[ATK] Cost 3 SP
All Enemies : [Water 2] {60% Heavy 2} ",066,665,"Drowning Sign ""Sinkable Vortex""",ATK,3 SP,All Enemies,Water,2,,,,
Murasa,3,"Harbor Sign ""Phantom Ship's Eternal Anchorage""
[SUP] Cost 2 SP
Two Enemies : [Heavy 2] ",066,666,"Harbor Sign ""Phantom Ship's Eternal Anchorage""",SUP,2 SP,Two Enemies,,,,,,
Murasa,4,"Ghost ""Dipper Creeping Close""
[ATK] Cost 5 SP
Two Enemies : [Water 3]
Self : [+3 EVA]",066,667,"Ghost ""Dipper Creeping Close""",ATK,5 SP,Two Enemies,Water,3,,,,
Specter Knight,1,"Dash Slash
[ATK] Cost 2 HP
One Enemy : [Blade 4]
Self : [+2 SPD] ",067,674,"Dash Slash",ATK,2 HP,One Enemy,Blade,4,,,,
Specter Knight,2,"Hover Plume
[SUP] Cost 1 HP
Self : [+3 EVA]",067,675,"Hover Plume",SUP,1 HP,Self,,,,,,
Specter Knight,3,"Judgement Rush
[ATK] Cost 5 HP
Two Enemies : [Blade 5]
This skill has +2 ACC. ",067,676,"Judgement Rush",ATK,5 HP,Two Enemies,Blade,5,,,,
Specter Knight,4,"Raise Dead
[SUP] Cost 4 HP
Revive a KO'ed ally as a Boneclang with max HP and SP.",067,677,"Raise Dead",SUP,4 HP,#N/A,,,,,,
Abelard,1,"Encourage
[SUP] Cost 2 SP
One Ally : Recover 4 SP. ",068,684,"Encourage",SUP,2 SP,One Ally,,,,,,
Abelard,2,"Kick
[ATK] Cost 2 SP
One Enemy : [Impact 3]",068,685,"Kick",ATK,2 SP,One Enemy,Impact,3,,,,
Halt,1,"Armor Piercing Arrow
[ATK] Cost 3 SP
One Enemy : [Pierce 3]
This skill has Break.",069,694,"Armor Piercing Arrow",ATK,3 SP,One Enemy,Pierce,3,,,,
Halt,2,"Bold Strategy
[SUP] Cost 5 SP
All Allies : [Crit 2]
All Enemies : [-2 EVA]  ",069,695,"Bold Strategy",SUP,5 SP,All Allies,,,,,,
Halt,3,"Clever Strategy
[SUP] Cost 5 SP 
All Allies : [+1 DEF,EVA] 
All Enemies : [-2 ATK]",069,696,"Clever Strategy",SUP,5 SP,All Allies,,,,,,
Halt,4,"Planned Distraction
[SUP] Cost 2 SP
One Enemy : [Weaken 1]
Swap an ally Abelard.  ",069,697,"Planned Distraction",SUP,2 SP,One Enemy,,,,,,
Captain America,1,"Shield Bash
[ATK] Cost 2 SP
One Enemy : [Impact 2] [Disable 2]   ",070,704,"Shield Bash",ATK,2 SP,One Enemy,Impact,2,,,,
Captain America,2,"Ricochet Throw
[ATK] Cost 4 SP
Two Enemies : [Impact 4]",070,705,"Ricochet Throw",ATK,4 SP,Two Enemies,Impact,4,,,,
Captain America,3,"Patriot's Shield
[SUP] Cost 4 SP
Self : [+3 DEF] [Taunt 3]",070,706,Patriot's Shield,SUP,4 SP,Self,,,,,,
Captain America,4,"Rallying Speech
[SUP] Cost 2 SP
Two Allies : Recover 3 SP.  ",070,707,"Rallying Speech",SUP,2 SP,Two Allies,,,,,,
Hulk,1,"Hulk Smash!
[ATK] Cost 5 SP
One Enemy : [Impact 5] ",071,714,"Hulk Smash!",ATK,5 SP,One Enemy,Impact,5,,,,
Hulk,2,"Hulk Smash!
[ATK] Cost 5 SP
Two Enemies : [Impact 3] ",071,715,"Hulk Smash!",ATK,5 SP,Two Enemies,Impact,3,,,,
Hulk,3,"Hulk Smash!
[ATK] Cost 5 SP
All Enemies : [Impact 2] 
This Skill has -1 ACC.",071,716,"Hulk Smash!",ATK,5 SP,All Enemies,Impact,2,,,,
Iron Man,1,"Repulsors
[ATK] Cost 5 SP
One Enemy : [Impact 6]",072,724,"Repulsors",ATK,5 SP,One Enemy,Impact,6,,,,
Iron Man,2,"Pulse Bolt
[ATK] Cost 3 SP
One Enemy : [Impact 2 + X]
X = Target's Slot number  ",072,725,"Pulse Bolt",ATK,3 SP,One Enemy,#N/A,,,,,
Iron Man,3,"Smart Missiles
[ATK] Cost 4 SP
One Enemy : [Impact 3]
This Skill has Break and Scope. ",072,726,"Smart Missiles",ATK,4 SP,One Enemy,Impact,3,,,,
Iron Man,4,"Unibeam 
[ATK] Cost X SP
One Enemy : [Impact X]
X = Iron Man's Current SP.",072,727,"Unibeam ",ATK,X SP,One Enemy,Impact,X,,,,
Lyn,1,"Staunchflash Sol Katti
[ATK] Cost 5 SP
One Enemy : [Blade 4]
This skill has Precision.",073,734,"Staunchflash Sol Katti",ATK,5 SP,One Enemy,Blade,4,,,,
Lyn,2,"Afterimage Sword Strike
[ATK] Cost 3 SP
Two Enemies : [Blade 1]
This skill has Adept 1.",073,735,"Afterimage Sword Strike",ATK,3 SP,Two Enemies,Blade,1,,,,
Lyn,3,"Mulagir
[ATK] Cost 5 SP
One Enemy : [Pierce 3]
Self : [+1 SPD,EVA]
This skill has Scope.",073,736,"Mulagir",ATK,5 SP,One Enemy,Pierce,3,,,,
Lyn,4,"""Lend me your strength!""
[SUP] Cost 7 SP
Swap an ally from the Back to the Front.
This ally gains [Shield 3] and [Bold 3].",073,737,"""Lend me your strength!""",SUP,7 SP,#N/A,,,,,,
Megumu,1,"Calamitous Star
[MAG] Cost 4 SP
One Enemy : [Astral 3] [-4 ATK,MAG]
If target is not Marked, this Skill has no effect.",074,744,"Calamitous Star",MAG,4 SP,One Enemy,Astral,3,,,,
Megumu,2,"Stellar Wind
[MAG] Cost 6 SP
Two Enemies : [Mystic 4] [Mark 5]",074,745,"Stellar Wind",MAG,6 SP,Two Enemies,Mystic,4,,,,
Megumu,3,"Luminous Horse
[MAG] Cost 3 SP
All Enemies : [Astral 5] [Mark 2] [+3 SPD]
This Skill has -1 ACC. ",074,746,"Luminous Horse",MAG,3 SP,All Enemies,Astral,5,,,,
Megumu,4,"Rainbow Illumination
[SUP] Cost 4 SP
All Allies : [+2 EVA,DEF,RES] [-3 ATK]",074,747,"Rainbow Illumination",SUP,4 SP,All Allies,,,,,,
Joshua,1,"Audhulma
[ATK] Cost 4 SP
One Enemy : [Blade 6]",075,754,"Audhulma",ATK,4 SP,One Enemy,Blade,6,,,,
Joshua,2,"Killing Edge
[ATK] Cost 3 SP
One Enemy : [Blade 3] {30% 3*damage} ",075,755,"Killing Edge",ATK,3 SP,One Enemy,Blade,3,,,,
Saitama,1,"Normal Punch
[ATK] Cost 50 SP
One Enemy : [Impact 50] 
Self : Recover 50 SP. 
This skill has Precision and Scope. ",076,764,"Normal Punch",ATK,50 SP,One Enemy,Impact,50,,,,
Cherche,1,"Winged Deliverer
[SUP] Cost 2 SP
Swap two Other Allies.
You may use another skill as part of your action.",077,774,"Winged Deliverer",SUP,2 SP,#N/A,,,,,,
Cherche,2,"Wyvern's Screech
[SUP] Cost 4 SP
All Enemies : [Terror 2]",077,775,"Wyvern's Screech",SUP,4 SP,All Enemies,,,,,,
Cherche,3,"Hammer
[ATK] Cost 4 SP
One Enemy: [Impact 4+X]
X = Target's DEF
This Skill has Break.",077,776,"Hammer",ATK,4 SP,One Enemy,#N/A,,,,,
Alfyn,1,"Inspiriting Mist
[SUP] Cost 2 SP
All Other Allies : Recover 3 SP.",078,784,"Inspiriting Mist",SUP,2 SP,All Other Allies,,,,,,
Alfyn,2,"Amputation
[ATK] Cost 4 SP
One Enemy : [Blade 5]",078,785,"Amputation",ATK,4 SP,One Enemy,Blade,5,,,,
Alfyn,3,"First Aid
[SUP] Cost 2 SP
One Ally : Recover 4 HP.   ",078,786,"First Aid",SUP,2 SP,One Ally,,,,,,
Alfyn,4,"Pomegranate Panacea
[SUP] Cost 5 SP
All Allies : [Crit 3]",078,787,"Pomegranate Panacea",SUP,5 SP,All Allies,,,,,,
Serra,1,"Physic
[SUP] Cost 8 SP
Any Ally: Recover 12 HP.",079,794,"Physic",SUP,8 SP,Any Ally,,,,,,
Serra,2,"Restore
[SUP] Cost 4 SP
One Ally : [Cure 2]",079,795,"Restore",SUP,4 SP,One Ally,,,,,,
Serra,3,"Lightning
[MAG] Cost 3 SP
One Enemy : [Light 5]",079,796,"Lightning",MAG,3 SP,One Enemy,Light,5,,,,
Serra,4,"""Hey, come help me?""
[SUP] Cost 4 SP
Swap an ally from the Back to the Front.
This ally gains [Crit 3].",079,797,"""Hey, come help me?""",SUP,4 SP,#N/A,,,,,,
Serra,5,"""You will protect little old me, won't you?""
[SUP] Cost 4 SP
One Ally : [Stubborn 1] Recover 10 SP.",079,798,"""You will protect little old me, won't you?""",SUP,4 SP,One Ally,,,,,,
Blake,1,"Gambol Shroud: Slash
[ATK] Cost 3 SP
One Enemy : [Blade 4]",080,804,"Gambol Shroud: Slash",ATK,3 SP,One Enemy,Blade,4,,,,
Blake,2,"Gambol Shroud: Duel Wield
[ATK] Cost 4 SP
One Enemy : [Blade 7]
Self : [-1 EVA]",080,805,"Gambol Shroud: Duel Wield",ATK,4 SP,One Enemy,Blade,7,,,,
Blake,3,"Gambol Shroud: Kusarigama
[ATK] Cost 5 SP
Two Enemies : [Blade 6]
Self : [-2 EVA]",080,806,"Gambol Shroud: Kusarigama",ATK,5 SP,Two Enemies,Blade,6,,,,
Blake,4,"Gambol Shroud: Slingshot
[SUP] Cost 3 SP
One Ally: [Haste 1] [Crit 2]",080,807,"Gambol Shroud: Slingshot",SUP,3 SP,One Ally,,,,,,
Hibaru,1,"Welfare Chain Organization
[SUP] Cost 16 SP
All Other Allies : [Terror 2] 
All Enemies : [Terror 4]",081,814,"Welfare Chain Organization",SUP,16 SP,All Other Allies,,,,,,
Hibaru,2,"Debt Collection Eulogy
[SUP] Cost 8 SP
One Enemy : [Terror 6]  ",081,815,"Debt Collection Eulogy",SUP,8 SP,One Enemy,,,,,,
Hibaru,3,"Building Money
[SUP] Cost 8 SP
One Ally : [Bold 6] ",081,816,"Building Money",SUP,8 SP,One Ally,,,,,,
Weiss,1,"Myrtenaster: Thrust 
[ATK] Cost 3 SP
One Enemy : [Blade 3]
This Skill has +3 ACC. ",082,824,"Myrtenaster: Thrust ",ATK,3 SP,One Enemy,Blade,3,,,,
Weiss,2,"Myrtenaster: Ice Wall
[SUP] Cost 6 SP
All Allies : [+3 DEF] [+1 RES]",082,825,"Myrtenaster: Ice Wall",SUP,6 SP,All Allies,,,,,,
Weiss,3,"Glyphs: Ice Shot
[MAG] Cost 4 SP
One Enemy : [4 Cold] {80% -3 SPD}",082,826,"Glyphs: Ice Shot",MAG,4 SP,One Enemy,#N/A,,,,,
Weiss,4,"Glyphs: Time Dilation
[SUP] Cost 6 SP
All Allies : [+2 SPD,EVA] ",082,827,"Glyphs: Time Dilation",SUP,6 SP,All Allies,,,,,,
Wriggle,1,"Comet on Earth
[ATK] Cost 3 SP
One Enemy : [0 Nature] [Poison 5]  ",083,834,"Comet on Earth",ATK,3 SP,One Enemy,Poison,5,,,,
Wriggle,2,"Firefly Phenomenon
[ATK] Cost 4 SP
All Enemies : [0 Nature] [Poison 3]  
This Skill has -1 ACC. ",083,835,"Firefly Phenomenon",ATK,4 SP,All Enemies,Poison,3,,,,
Wriggle,3,"Nightbug Tornado
[ATK] Cost 6 SP
All Enemies : [2 Nature]
If target is Poisoned, deal +5 damage.
This Skill has -1 ACC. ",083,836,"Nightbug Tornado",ATK,6 SP,All Enemies,#N/A,,,,,
Wriggle,4,"Wriggle Kick  
[ATK] Cost 5 SP
One Enemy : [3 Nature]
This skill has Scope and Precision.",083,837,"Wriggle Kick  ",ATK,5 SP,One Enemy,#N/A,,,,,
Yang,1,"Ember Celica: Explosive Punch
[ATK] Cost 5 SP
One Enemy : [Impact 7]   ",084,844,"Ember Celica: Explosive Punch",ATK,5 SP,One Enemy,Impact,7,,,,
Yang,2,"Ember Celica: Defend
[SUP] Cost 2 SP
Self: [+2 DEF,RES] ",084,845,"Ember Celica: Defend",SUP,2 SP,Self,,,,,,
Yang,3,"Ember Celica: Explosive Shot
[ATK] Cost 4 SP
Two Enemies : [Impact 4] ",084,846,"Ember Celica: Explosive Shot",ATK,4 SP,Two Enemies,Impact,4,,,,
Yang,4,"Ember Celica: Launch
[SUP] Cost 2 SP
Self: [Crit 3]",084,847,"Ember Celica: Launch",SUP,2 SP,Self,,,,,,
Garen,1,"Decisive Strike
[ATK] Cost 3 SP
One Enemy : [Blade 4] [Silence 1] ",085,854,"Decisive Strike",ATK,3 SP,One Enemy,Blade,4,,,,
Garen,2,"Courage  
[SUP] Cost 3 SP
Self : [+2 DEF,RES] [Cure 0]",085,855,"Courage  ",SUP,3 SP,Self,,,,,,
Garen,3,"Judgment 
[ATK] Cost 5 SP
All Enemies : [Blade 3] {30% -3 DEF}
This Skill has -1 ACC.  ",085,856,"Judgment ",ATK,5 SP,All Enemies,Blade,3,,,,
Garen,4,"Demacian Justice 
[ATK] Cost 5 SP
One Enemy : [Blade X]
X = target's missing HP. 
This skill has Break, Scope and Precision.",085,857,"Demacian Justice ",ATK,5 SP,One Enemy,Blade,X,,,,
Kellam,1,"Rally Defense 
[SUP] Cost 4 SP
All Allies : [+2 DEF]",086,864,"Rally Defense ",SUP,4 SP,All Allies,,,,,,
Kellam,2,"Steel Lance
[ATK] Cost 3 SP
One Enemy : [Pierce 4] ",086,865,"Steel Lance",ATK,3 SP,One Enemy,Pierce,4,,,,
Teemo,1,"Blinding Dart
[MAG] Cost 4 SP
One Enemy : [Pierce 4] [Weaken 2]",087,874,"Blinding Dart",MAG,4 SP,One Enemy,Pierce,4,,,,
Teemo,2,"Move Quick
[SUP] Cost 1 SP
Self : [+2 SPD,EVA]  ",087,875,"Move Quick",SUP,1 SP,Self,,,,,,
Teemo,3,"Toxic Shot
[MAG] Cost 3 SP
One Enemy : [Pierce 2] [Poison 3]",087,876,"Toxic Shot",MAG,3 SP,One Enemy,Pierce,2,,,,
Teemo,4,"Noxious Trap 
[MAG] Cost 6 SP
One Enemy : [Impact 0] [Stuck 3] [Reveal 3] [Poison 3]",087,877,"Noxious Trap ",MAG,6 SP,One Enemy,Impact,0,,,,
Kaguya,1,"Dragon's Neck Jewel
[MAG] Cost 3 SP
All Enemies : [Mystic 3]
This Skill has -1 ACC.",088,884,"Dragon's Neck Jewel",MAG,3 SP,All Enemies,Mystic,3,,,,
Kaguya,2,"Buddha's Stone Bowl  
[MAG] Cost 6 SP
All Enemies : [Spirit 3] [-2 DEF,RES]
Self : {50% +1 MAG,DEF,RES,SPD} 
This Skill has -1 ACC. ",088,885,"Buddha's Stone Bowl  ",MAG,6 SP,All Enemies,Spirit,3,,,,
Kaguya,3,"Swallow's Cowrie Shell
[MAG] Cost 8 SP
All Enemies : [Nature 4]
All Allies : [Cure 1]
This Skill has -1 ACC. ",088,886,"Swallow's Cowrie Shell",MAG,8 SP,All Enemies,Nature,4,,,,
Kaguya,4,"Bullet Branch of Hourai
[MAG] Cost 9 SP
All Enemies : [Astral 8]
This Skill has -1 ACC. ",088,887,"Bullet Branch of Hourai",MAG,9 SP,All Enemies,Astral,8,,,,
